序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2584,002921,联诚精密,15.27,-1.99,-0.31,34808.0,53741443.5,3.08,15.73,15.25,15.61,15.58,0.95,2.71,-148.55,1.72,2274773839.0,1962219890.0,0.07,0.13,-0.13,39.58
2585,300913,兆龙互连,53.81,-1.99,-1.09,66385.0,358974762.43,2.35,54.88,53.59,54.4,54.9,0.81,2.6,91.31,12.63,16826960776.0,13763729668.0,-0.06,-0.04,-14.61,12.53
2586,301028,东亚机械,15.25,-1.99,-0.31,112883.0,172405840.94,3.53,15.56,15.01,15.55,15.56,1.18,4.54,22.88,3.55,5856757742.0,3789006430.0,0.07,0.07,18.58,44.0
2587,300308,中际旭创,627.0,-2.0,-12.8,213762.0,13392778801.7,2.96,636.95,618.0,628.3,639.8,0.79,1.93,73.26,26.4,696671195418.0,693148802214.0,0.01,-0.04,44.4,411.38
2588,301293,三博脑科,56.32,-2.0,-1.15,73027.0,414009840.6,2.87,57.65,56.0,57.5,57.47,0.94,4.54,104.04,4.96,11601187108.0,9064461373.0,0.0,0.09,-4.66,30.58
2589,002285,世联行,2.93,-2.01,-0.06,965468.0,284898757.3,3.01,3.0,2.91,2.96,2.99,0.64,4.89,-105.4,2.08,5838989081.0,5789024342.0,0.34,0.34,22.59,13.13
2590,002162,悦心健康,4.88,-2.01,-0.1,308164.0,151501324.3,3.21,5.02,4.86,4.98,4.98,0.93,3.36,1091.35,5.46,4488140709.0,4482251310.0,-0.2,0.0,17.31,41.04
2591,002593,日上集团,6.33,-2.01,-0.13,871889.0,549942158.0,3.56,6.43,6.2,6.39,6.46,1.53,15.6,48.83,2.1,5088421324.0,3537514917.0,0.0,0.0,24.61,26.1
2592,300351,永贵电器,18.51,-2.01,-0.38,225029.0,418735702.9,2.54,18.84,18.36,18.63,18.89,1.02,8.54,75.82,2.88,7198630217.0,4875727855.0,-0.16,-0.22,1.37,4.69
2593,002845,同兴达,14.1,-2.02,-0.29,63880.0,90711632.8,2.57,14.43,14.06,14.33,14.39,0.92,2.55,-225.19,1.94,4618479041.0,3528318449.0,-0.07,0.0,-7.36,-6.75
2594,002562,兄弟科技,6.31,-2.02,-0.13,299637.0,190558820.0,2.48,6.46,6.3,6.45,6.44,1.66,4.27,53.32,1.96,7211206296.0,4426646621.0,0.0,0.0,-17.3,48.47
2595,300727,润禾材料,35.39,-2.02,-0.73,49071.0,174737919.26,3.24,36.45,35.28,36.08,36.12,0.9,3.03,50.18,4.9,6375025497.0,5728883725.0,-0.03,0.0,-10.34,37.6
2596,301252,同星科技,30.35,-2.03,-0.63,75319.0,229371161.67,3.49,31.08,30.0,30.38,30.98,1.55,15.93,43.49,3.94,5135992104.0,1434961354.0,0.1,0.03,-0.49,31.73
2597,301539,宏鑫科技,20.76,-2.03,-0.43,36871.0,76883431.46,2.64,21.16,20.6,21.15,21.19,0.9,4.91,52.84,3.77,3072480000.0,1558282947.0,-0.05,0.1,5.7,12.76
2598,301061,匠心家居,93.1,-2.03,-1.93,23817.0,220458355.91,4.22,95.02,91.01,94.04,95.03,1.24,1.64,23.23,5.05,20367245033.0,13530905144.0,0.08,0.25,-2.78,99.57
2599,300321,同大股份,46.33,-2.03,-0.96,33477.0,155050845.81,3.91,47.35,45.5,47.26,47.29,0.51,3.77,279.79,6.49,4114104000.0,4109281047.0,-0.13,0.06,17.65,125.78
2600,300043,星辉娱乐,5.75,-2.04,-0.12,510508.0,295012280.2,1.87,5.84,5.73,5.84,5.87,0.89,4.11,20.01,4.16,7154140806.0,7150352131.0,-0.17,0.0,-18.21,58.4
